,comment,position
117,"['前', '几天', '就', '收到', '了', 'u', '盘', '目前', '没', '发现', '什么', '严重', '的', '问题', '姓氏', '图腾', '很漂亮', '本', '以为', '会', '丑', '的', '我', '特意', '去', '网上', '搜', '了', '图腾', '的', '大图', '看', '了', '看', '还是', '决定', '刻', '这个', '字', '很', '精细', '不过', '盘', '插进去', '拔出', '时会', '有', '几条', '明显', '的', '划痕', '有点', '影响', '美观', '发热', '是', '会', '有', '的', '因为', '电脑', '本身', '会', '有', '热量', '通过', '金属', '盘', '导热', '速度', '的话', '本人', '清楚', '20', '是', '个', '什么', '速度', '所以', '也', '没有', '太', '大', '要求', '总体', '来说', '是', '没有', '失望', '的', '一次', '网购']",速度的话本人清楚2
118,"['读盘', '速度', '非常', '快', '已经', '是', '第二次', '购买', '了', '非常', '喜欢', '会', '一如既往', '的', '支持']",读盘速度非常快
119,"['很', '好', '快递', '真的', '好快', '前天', '中午', '买', '的', '今天', '中午', '就', '到', '了', '不错', '不错']",快递真的好快
120,"['卖家', '态度', '很', '好', '快递', '也', '很快', '不过', '这个', '图案', '我', '真的', '不好', '说', '呀', '感觉', '有点', '小', '没', '把', '我', '男神', '的', '帅气', '展现', '出来', '不过', '优盘', '还', '不错']",快递也很快
121,"['收到', '了', '物流', '也', '快', '外表', '也', '大气', '小巧', '精致', '我', '的', '这款', '很', '适合', '女生', '大学', '用', '内存', '也', '够', '了', '好评', '朋友', '一直', '用', '的', '都', '是', '这个', '牌子']",物流也快
122,"['1', '两个', 'u', '盘', '都', '完好无损', '很', '好', '2', '服务态度', '极其', '棒', '有', '耐心', '3', '物流', '很', '好', '说', '什么', '时候', '送', '就', '什么', '时候', '送']",物流很好
123,"['优盘', '收到', '了', '快递', '很', '给', '力', '插', '在', '电脑', '上', '显示', '144', '个', 'G', '还', '不错', '挂', '在', '钥匙', '上', '正好']",快递很给力
124,"['u', '盘己', '经', '收到', '挺', '小巧', '精致', '生肖', '刻得', '也', '精巧', '重要', '的', '是', '他们', '的', '服务', '暖心', '我', '是', '昨天下午', '下', '的', '单', '因为', '孩子', '学校', '急用', '而', '我', '选', '的', '又', '是', '需要', '加刻', '生肖', '的', 'u', '盘', '我', '真的', '怕', '时间', '赶不上', '当', '我', '把', '情况', '向', '客服', '说明', '后', '他们', '立即', '答应', '我会', '以', '最快', '的', '速度', '发货', '尽量', '不', '影响', '孩子', '使用', '他们', '做到', '了', '谢谢']",他们立即答应我会以最快的速度发货
125,"['用', '起来', '好用', '也', '快', '是', '正品', '内存', '刚好', '不会', '是', '虚', '内存', '那种', '喜欢']",也快
126,"['很', '小巧', '传输速度', '很快', '价格合理']",传输速度很快
127,"['官方', '旗舰店', '感觉', '质量', '有', '保证', '的', '哈', '还好', '吧', '感觉', '用', '着', '不错', '啊', '价格', '也', '还好', '快递', '比较', '给力', '平心而论', '不错']",快递比较给力
128,"['物流', '挺快', '的', 'u', '盘', '很', '好看', '真的', '是', '天蝎座', '的', '哈哈', '喜欢']",物流挺快的
129,"['U盘', '看着', '很', '不错', '是', '正品', '物流', '也', '挺快', '的', '店家', '服务态度', '也', '很', '好', '满意']",物流也挺快的
130,"['经测', '达到', '标准', '是', '正品', '宝贝', '跟', '描述', '一样', '不错', '真是', '价廉物美', '卖家', '服务态度', '好', '发货', '迅速', '包装', '认真', '好评', '全', '5', '分', '没有', '想到', '还有', '赠品', '谢谢', '老板', '物流', '快', '服务', '好']",发货迅速 赠品，
131,"['发货', '速度', '快', '使用方便', '存储', '快', '正品', '保证']",发货速度快</<em>em>
132,"['是', '正品', '物流', '很快', '客服', '的', '服务', '都', '棒棒', '哒']",物流很快
